1	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
4890	moi mon choix il est tout fait les deux sont douloureux	moi mon choix il est tout fait les deux sont douloureux	_
4891	(n) les deux sont difficiles	<eps> les deux sont difficiles	_
4892	pour les français pour ceux qui nous regardent <eps>	pour les français mais ce qui nous regardent français	_
4893	et c' est bien pour ça que j' insiste sur la réduction de la dépense	et c' est bien pour ça que j' insiste sur la réduction de la dépense	_
4894	mais entre les deux je préfère une augmentation de la tva à une augmentation de la csg	<eps> entre les deux je préfère une augmentation de la tva à une augmentation de la csg	_
4895	pour deux raisons la première c' est que	<eps> deux raisons la première c' est que	_
4896	la tva permet de taxer les produits importés ça je crois que c' est très important quand on voit	la tva permet de taxer les produits importés ça je crois que c' est très important quand on voit	_
4897	le nombre d' importation en france pouvoir taxer les produits réalisés à l' étranger grâce à la tva c' est bien	<eps> nombre d' importation en france pour taxer les produits réalisés à l' étranger grâce à <eps> tva c' est bien	_
4898	alors que la csg ne taxe que les revenus des ménages ou les revenus des retraités	<eps> que la csg de taxes que les revenus des ménages où les revenus des retraités	_
4899	le deuxième avantage c' est que	le deuxième avantage c' est que	_
4900	lorsqu' on regarde ce que touche la tva ce que touche la csg la tva touche aussi les entreprises touche	<eps> on regarde ce que touche la tva ce que touche la csg la tva touche aussi les entreprises touchées	_
4901	aussi les collectivités la csg ne touche que les ménages que les français qui travaillent ou qui sont retraités	si les collectivités la csg ne touche que les ménages que les français qui travaillent ou qui sont retraités	_
4902	donc je préfère cette solution de la tva à la solution de la csg une fois encore avec <eps> cette	<eps> je préfère cette solution de la tva <eps> la solution <eps> la csg une fois encore et que cette	_
4903	double réserve la première c' est que on peut imaginer effectivement une fiscalité écologique intéressante je trouve que ça vaut le coup de travailler là dessus je trouve que c' est une piste intéressante et la deuxième c' est que n' oublions pas ce que à chaque fois on met de côté à chaque fois on oublie on peut réduire la dépense	double réserve la première c' est que on peut imaginer effectivement une fiscalité écologique intéressant je <eps> que ça vaut le coup <eps> travailler là dessus je crois que c' est une piste intéressante et la deuxième c' est que n' oublions pas ce que à chaque fois on met de côté à chaque fois on oublie on peut réduire la dépense	_
4904	alors réduire la dépense c' est intéressant je vais être un peu polémique avec bruno le maire le polémiste	<eps> réduire la dépense <eps> <eps> intéressant et très <eps> <eps> peu polémiques avec bruno le maire de polémiste	_
4905	le mérite de ce gouvernement critiqué dans d' autres rôles	le mérite de ce gouvernement critiqué dans votre rôle <eps>	_
4906	c' est quand même dans un premier temps de réduire la dépense publique pour la première fois de dix milliards d' euros	c' est quand même dans un premier temps de réduire la dépense publique pour la première fois de dix milliards d' euros	_
4907	le président de la république est nouvellement élu il dit je vais réduire la dépense de dix milliards rappelez vous	<eps> président <eps> la république et nouvellement élue <eps> <eps> je vais réduire la dépense <eps> dix milliards rappelez vous	_
4908	de deux mille sept	<eps> deux milles sept	_
4909	la première chose qu' avait fait le président sortant c' est de créer la loi tepa	<eps> première chose qui avait fait le président sortant c' est de créer la loi tepa	_
4910	qui entraînait un certain nombre de niches fiscales qui a coûté quinze milliards à l' époque et dont on disait que ça allait créer un choc de croissance	<eps> entraînait son <eps> nombre de niches fiscales qui a coûté quinze milliards à l' époque <eps> dont on disait que ça allait créer un choc de croissance	_
4911	et un choc de confiance il y a eu la crise je vous l' accorde mais le choc je le disais à l' époque à madame lagarde n' est pas venu	est un choc de confiance il y a eu la crise je vous l' accorde <eps> le choc je le disais à mme lagarde à l' époque n' est pas venu	_
4912	son gouvernement a le mérite aujourd'hui <eps> de dire trente milliards dix milliards d' économies première chose ensuite dix milliards sur les entreprises et dix milliards sur les ménages et sur les ménages les plus aisés	<eps> gouvernement a le mérite aujourd' hui de dire trente milliards dix milliards d' économies première chose ensuite dix milliards sur les entreprises et dix milliards sur les ménages et sur les ménages les plus aisés	_
4913	enfin vingt milliards d' impôts et dix milliards d' économies	<eps> <eps> <eps> <eps> <eps> <eps> dix milliards d' économies	_
4914	<eps> attendez <eps> <eps> <eps> <eps> <eps> j' ai dit <eps> j' ai dit voilà un tiers deux tiers <eps> <eps> <eps> je pense qu' il faudra arriver dans dans le futur non <eps> mais il faudra arriver à cinquante cinquante dans les temps futurs on ne pourra pas créer un choc alors d' abord	mais attendez je voudrais je pense que j' ai dit que j' ai dit voilà un tiers deux tiers de l' etat je pense qu' il faudra arriver tant que <eps> futur un tueur mais il faudra arriver à cinquante cinquante en étant futur <eps> <eps> ne pourra pas créer un choc lors d' abord	_
4915	vous nous dites qu' on ne parle que d' impôts mais je vous dis d' abord économie c' est le premier gouvernement qui fait dix milliards d' économie	vous <eps> dites qu' on ne parle que d' impôts <eps> je vous dis de bons économique c' est le premier gouvernement qui fait dix milliards d' économies	_
4916	il y a eu des tentatives avant avec la rgd la tva moi je suis pas en train de choisir tva ou csg	il y a eu des tentatives avant le clergé <eps> la tva moi je suis pas en train de choisir tva ou csg	_
4917	la tva rapporte six à sept milliards pour un point la csg rapporte onze à douze milliards pour un point donc elle est plus rentable c' est clair	la tva rapporte six à sept milliards pour un point la csg rapportent onze à douze milliard pour après <eps> donc elle est plus rentable c' est clair	_
4918	la facilité ce serait de	<eps> facilité ce serait <eps>	_
4919	alors le gouvernement précédent auquel vous apparteniez avait dit on va faire un choc de compétitivité avec la tva en la passant de cent quatre vingt six à vingt et un	alors le gouvernement précédent auquel vous appartenir avait dit on va faire un choc de compétitivité avec la tva <eps> la passion des dix huit <eps> <eps> à vingt et un	_
4920	résultat résultat avouez le au moment où il y a une baisse de la consommation	résultat résultat avril <eps> au moment où il y a une baisse de la consommation	_
4921	au moment où il y a une baisse de la demande arrivé au mois d' octobre là ce mois ci avec	au moment où il y a une baisse de la demande arrivé au mois d' octobre <eps> ce mois-ci <eps> avec	_
4922	deux points et demi de tva en plus est ce que vous pensez qu' on a encore pas plus cassé la machine	deux points et demi de tva en plus <eps> ce que vous pensez qu' on a encore pas plus casser la machine	_
4923	auprès des consommateurs qui eux avouez le parce que quand vous pouvez me dire	auprès des consommateurs khieu avoué <eps> le parce que quand vous pouvez me dire	_
4924	ça touche pas toutes les entreprises mais il n' empêche que pour un ménage qui se chauffe	<eps> touche pas tous les entreprises mais il n' empêche que pour un ménage qui se chauffent	_
4925	quand ils payent la tva	quand il paye la tva	_
4926	là il y a pas de récupération à <eps> deux <eps> cinq sur le produit il paie la tva quand quelqu' un fait le plein à la station	là il y a pas de récupération à zéro deux zéro cinq sur le produit qui paye la tva quand quelqu' un fait le plein à la station	_
4927	là il p() il prend la tva de plein fouet donc c' est une atteinte au pouvoir d' achat à mon avis qui n' était pas juste alors que le gouvernement en la matière aujourd'hui <eps> fait preuve de lucidité et de courage	là il peut y prend la tva de plein fouet donc c' est une atteinte au pouvoir d' achat à mon avis qu' il était pas juste alors que le gouvernement en la matière aujourd' hui fait preuve de lucidité et <eps> courage	_
4928	je vais être un peu polémique à mon tour françois patriat	est <eps> <eps> un peu polémiques à mon tour françois patriat	_
4929	ce qu' a décidé le gouvernement de jean marc ayrault	<eps> qu' est décidée le gouvernement de jean-marc <eps> ayrault	_
4930	et de françois hollande c' est bien de taxer justement massivement tous les ménages français	<eps> <eps> françois hollande c' est bien de taxer justement massivement tous les ménages français	_
4931	même s' il n' a pas augmenté la tva peut être qu' il le fera plus tard il a déjà pris cette décision	même si la <eps> <eps> pas augmenter la tva peut être qu' il le fera plus tard il a déjà pris cette décision	_
