BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	DANS SON ÉPOUSE BERRU CEBER FEMME SOURIRE EN DIRECT JUSQU'À DIX NEUF HEURES
NON MAIS VOUS VOYEZ BIEN QUE CE QUE VOUS DESSINEZ LÀ COMME HORIZON POUR LES GENS C' EST DE LEUR DIRE ON VA FAIRE UN SYSTÈME QUI PERMET DE SE DÉBARRASSER PLUS FACILE D' EUX PLUS FACILEMENT DE VOUS C' EST C' EST PAS FORCÉMENT TRÈS ENTHOUSIASMANT	ON MÉOUVRIT BIEN QUE CE QUE VOUS DESSINEZ LÀ COMME HORIZON POUR LES CHANCES ET DE LEURS DIRES ON VA FAIRE UN SYSSÈME
DONC IL FAUT QU' ON ARRIVE À INVENTER AUTRE CHOSE C' EST À DIRE UN MEILLEUR ÉQUILIBRE ENTRE AUJOURD'HUI UN DROIT DU TRAVAIL QUI EST BEAUCOUP TROP RIGIDE	DONT IL FAUT QU'ON ARRIVA INVENTER AUTRE CHOSE C'EST À DIRE UN MEILLEUR ÉQUILIBRE ENTRE AUJOURD'HUI EN DROIT DU TRAVAIL QU'EST BEAUCOUP TROP RIGIDE
DES NORMES QUI SONT BEAUCOUP TROP RIGIDES QUELS SONT LES PREMIERS À EN PÂTIR C' EST LES JEUNES ET MOI JE TROUVE ÇA INSUPPORTABLE D' AVOIR	DES NORMES SONT BUTRO RIGIDES QU'ELLES SONT LES PREMIERS EMPÂTIRS CÉLÉ JEUNES ET MOI JE TROUVE ÇA INSUPPORTABLES D'AVOIR
PLUS DE VINGT CINQ POUR CENT DE TAUX DE CHÔMAGE DES JEUNES DES CHIFFRES ENCORE PLUS ÉLEVÉS POUR CEUX QUI SONT PAS QUALIFIÉS	PLUS DE VINGT CINQ POURCENT DE CHÔMAGE DES JEUNES DÉCHIRE ENCORE PLUS ÉLEVÉ POUR CEUX QUI SONT PAS QUALIFIÉS
ET PUIS DES SITUATIONS TRÈS CONCRÈTES QU' ON VOIT FRANÇOIS PATRIAT COMME MOI DANS NOS CIRCONSCRIPTIONS DANS NOS DÉPARTEMENTS C' EST À DIRE DES	ET PUIS DES SITUATIONS TRÈS CONCRÈTES CONVOIENT FRANÇOIS PATRIA COMME MOI DANS NOS CIRCONSCRIPTIONS DANS LE DÉPARTEMENT SE GARDE
ENTREPRISES DE DIX NEUF SALARIÉS QUI N' EMBAUCHERONT PAS LE VINGTIÈME UN JEUNE	LES ENTREPRISES DIX NEUF SALARIÉS QUI N EMBAUCHERONT PAS LE VINGTIÈME UN JEUNE
PARCE QUE SINON ILS VONT FRANCHIR UN SEUIL ET QUE C' EST DES OBLIGATIONS SUPPLÉMENTAIRES SUPPRIMONS CES OBLIGATIONS	PARCE QUE SINON Y M'EN FRANCHIR UN SEUIL ET SES OBLIGATIONS SUPPLÉMENTAIRES SUPPRIMANT CES OBLIGATIONS
ET OU QUI NE VONT PAS EMBAUCHER UN JEUNE QUI EST EN INTÉRIM OU QUI EST EN CDD PARCE QUE LE CDI EST TROP VERROUILLÉ	IL FAUT QU'ILS VONT PAS EMBAUCHER UN JEUNE QUITTE EN INTÉRIM OU QU'ÉLANÇAIT D'AIDER PAR CE QUE LE CÉDILLE EST TROP VERROUILLÉ
ET FAIT PESER UNE MENACE SI JAMAIS LA CONJONCTURE	IL FAIT POSER UNE MENACE SI JAMAIS LA CONJONCTURE
DEVIENT PLUS DÉFAVORABLE ET QUI SONT OBLIGÉS DE RÉDUIRE UN PETIT PEU LA VOILURE DONC ON DOIT TROUVER DES SOLUTIONS À ÇA	DEVIENT PLUS DÉFAVORABLE QUI SON BUT DE RÉDUIRE ANTI PEU LA VOILURE DONT QU'ON DOIT TROUVER LES SOLUTIONS À ÇA
IL FAUT SURTOUT PAS QU' ON RESTE BORNÉ FERMÉ ACCROCHÉ À UN CERTAIN NOMBRE DE CHOSES IL FAUT FAIRE ÉVOLUER	IL FAUT SURTOUT PAS QU'ON RESTE BORNÉ FERMÉ ACCROCHÉ À SON NOMBRE DE CHOSES IL FAUT FAIRE ÉVOLUER
DANS L' INTÉRÊT ET DES ENTREPRISES ET DES SALARIÉS POUR QUE L' ENTREPRISE PUISSE AJUSTER À LA CONJONCTURE À LA DEMANDE	DANS L'INTÉRÊT ET DES ENTREPRISES ET DES SALARIÉS POUR QUE L'ENTREPRISE PUISSE AJUSTER À LA CONJONCTURE À LA DEMANDE
LE NOMBRE DE SALARIÉS DONT ELLE DISPOSE ET QU' EN MÊME TEMPS LE SALARIÉ C' EST LÀ QUE J' AIME PAS LE CÔTÉ ON VA SE DÉBARRASSER PLUS FACILEMENT DE LUI NON	LE NOMBRE DE SALARIÉS D'ELLE DISPOSE ET QUAND MÊME TEMPS SALARIÉS C'EST LÀ QUE J'AIME PAS LE CÔTÉ ENVASSEUSE DÉBARRASSÉE PLUS FACILEMENT LUI NON
QUE LE SALARIÉ LUI PUISSE ÊTRE ACCOMPAGNÉ MIS EN CHÔMAGE TECHNIQUE COMME LE FONT PAR EXEMPLE LES ALLEMANDS	QUE SALARIÉ LUI PUISSE ÊTRE ACCOMPAGNÉ NI EN CHÔMAGE TECHNIQUE COMME LE FONT PAR EXEMPLE LES ALLEMANDS
OU PROFITE D' UNE PÉRIODE DE FORMATION À CE MOMENT LÀ POUR QUE CHACUN SOIT GAGNANT DANS CETTE AFFAIRE LÀ LES ENTREPRISES	OU PROFITE D UNE PÉRIODE DE FORMATION À CE MOMENT LÀ POUR QUE CHACUN SOIT GAGNANT DANS CETTE AFFAIRE LÀ LES ENTREPRISES
COMME LES JEUNES QUI AUJOURD'HUI NE TROUVENT PAS DE PLACE SUR LE MARCHÉ DU TRAVAIL	COMME LES JEUNES QUI AUJOURD HUI TROUVENT PAS SUR LE MARCHÉ DU TRAVAIL
FRANÇOIS PATRIAT POUR VOTRE CONCLUSION ET POUR RÉPONDRE DIRECTEMENT AUX AUX PISTES ÉVOQUÉES À L' INSTANT MÊME PAR BRUNO LE MAIRE SUR	FRANÇOIS PATRIA POUR VOTE CONCLUSION ET POUR RÉPONDRE DIRECTEMENT AU HAUT PISTE ET VONÉGALE INSTANT MÊME PAR BONO LE MAIRE
JE N' Y CROIS PAS BEAUCOUP PARCE QUE JE ME SOUVIENS DE CE QUE DISAIT À UNE ÉPOQUE UN PATRON	JE NE CROIS PAS BEAUCOUP PARCE QUE JE ME SOUVIENS QUE LISIA UNE ÉPOQUE À PATRONDE
DU MEDEF C' ÉTAIT PAS LE MEDEF À L' ÉPOQUE IL DISAIT LAISSEZ NOUS LICENCIER ET NOUS ALLONS CRÉER AUTANT BEAUCOUP D' EMPLOIS EN FRANCE	UNE MÉDAILLE FÉDÉRAL DÉVELOPPÉE LAISSEZ NOUS LICENCIÉS ET NOUS ALLONS CRÉER AUTANT BEAUCOUP D'EMPLOI EN FRANCE
DES MILLIERS D' EMPLOIS ON A VU CE QUE ÇA A DONNÉ À L' ÉPOQUE NON POUR REVENIR À LA COMPÉTITIVITÉ MOI JE NE MÉCONNAIS PAS	DIX MILLIERS D EMPLOIS ON A VUS QUE ÇA DONNER À L'ÉPOQUE NON POUR VENIR À LA COMPÉTITIVITÉ MOI JE NE M'ÉCONNAIS PAS
QU' IL Y A DES CHARGES SUR LE TRAVAIL QU' IL FAUT AUJOURD'HUI COMPENSER ET DIMINUER PAR LES VOIES QUE NOUS AVONS ÉVOQUÉES	QU'IL Y A DES CHARGES SUR LE TRAVAIL QU'IL FAUT AUJOURD'HUI COMPENSER ET DIMINUER PAR LES VOIX QUE NOUS AVONS ÉVOQUE
MAIS CE QU' ATTENDENT LES CHEFS D' ENTREPRISES EN MATIÈRE DE COMPÉTITIVITÉ	MAIS CE CATON L'ÉCHA D'ENTREPRISE EN MATIÈRE DE COMPÉTITIVITÉ
C' EST QUOI AUJOURD'HUI DE POUVOIR ÊTRE ACCOMPAGNÉ DANS LEUR FINANCEMENT ON VA LE FAIRE AVEC LA BPI	C'EST QUOI AUJOURD'HUI DE POUVOIR EST ACCOMPAGNÉ DANS LEUR FINANCEMENT EN VALFAIRE AVEC L'ABBÉ PAYS
ACCOMPAGNÉ DANS LA FORMATION ON LE FAIT DANS LES RÉGIONS AUJOURD'HUI EN PARTICULIER ACCOMPAGNÉ DANS LA RECHERCHE IL Y A UNE FAÇON OFFENSIVE	ACCOMPAGNÉS DANS LA FORMATION ON LE FAIT DANS LES RÉGIONS AUJOURD'HUI EN PARTICULIER ACCOMPAGNÉS DANS LA RECHERCHE ET UNE FAÇONS OFFENSIVE
LE CRÉDIT IMPÔT RECHERCHE MOI JE PENSE QU' IL FAUT AUJOURD'HUI LE RECENTRER	LE CRÉDIT A POUR RECHERCHE JE PENSE QU'ILS FONT AUJOURD'HUI LE RECENTRER
SUR LES PME POUR QU' ELLES DEVIENNENT DES ETI DEMAIN (N) POUR QU' ELLES DEVIENNENT DEMAIN DES ENTREPRISES INTERMÉDIAIRES	SUR LES PÈMES POUR QU'ELLES DEVIENNENT DES EUPHÉIDES MAINS LES VINS DE MAIN DES ENTREPRISES INTERMÉDIAIRES
SUR LE FINANCEMENT SUR L' INNOVATION VOUS L' AVEZ DIT DANS DES DOMAINES AUSSI VRAIS QUE LES NANOTECHNOLOGIES L' OPTIQUE LES NOUVELLES BEAUCOUP DE THÉORIES TECHNOLOGIES AUJOURD'HUI ET DE RECHERCHE ET L' INNOVATION C' EST ÇA QU' ILS ATTENDENT	SUR LE FINANCEMENT SUR L INNOVATION VOULAVIGANT DES DOMAINES OU CI VRAI QUE LES NANOTECHNOLOGIES L OPTIQUEENT LES NOUVEAU BEAUCOUP TERRES ET TECHNOLOGIES AUJOURD HUI ET DE RECHERCHE ET L INNOVATION SACS ATTENDRE
ILS ATTENDENT CE DOMAINE LÀ AUJOURD'HUI ET PUIS DERNIÈRE CHOSE VOUS SAVEZ SALAIRE UN BON SALAIRE N' EST PAS	ILS ATTENDENT CE DE CE DOMAINE D'AUJOURD'HUI PLUS DERNIÈRE CHOSE ET SALAIRE ANNONCE À L'AIR N'EST PAS
ANTINOMIQUE DE COMPÉTITIVITÉ J' AI VISITÉ L' USINE DE MAROQUINERIE DE MON TERRITOIRE QUI { PAYE / PAIE } TRÈS BIEN SES SALARIÉS ET QUI AUJOURD'HUI EXPORTE MERVEILLEUSEMENT BIEN	ANTINOMIQUE DE COMPÉTITIVITÉ J'AI VISITÉ L'USINE DE MAROKINE RÉDON TERRITOIRE QUI PAYE TRÈS BIEN CES SALARIÉS ET QUI AUJOURD'HUI EXPORTENT MERRIEUSEMENT BIEN
ET BIEN ON VA NOTER ON VA RESTER SI VOUS VOULEZ BIEN SUR CETTE NOTE POSITIVE MERCI GRAND MERCI À TOUS LES DEUX D' AVOIR PARTICIPÉ À CE PILE ET FACE PROCHAIN PILE ET FACE ÇA SERA LA SEMAINE PROCHAINE À LA MÊME PLACE ET À LA MÊME HEURE BIEN SÛR À BIENTÔT	LES MORMONAUTÉS OVARISTIS OU VOULENT BIEN SUR CETTE NOTES POSITIVES MERCI COMMERCIER TOUS LES DEUX D'AVOIR PARTICIPÉ À CE PYLÉPHACE PROCHAIN DEPUIS LES FACES À SERA LA SEMAINE PROCHAINE À LA MÊME PLACE ET À LA MÉMOIRE BIEN SÛR À BIENTO
PROJET CONTRE PROJET IDÉE CONTRE IDÉE BIENVENUE DANS PILE ET FACE AVEC CÔTÉ PILE CETTE SEMAINE L' ANCIEN MINISTRE ENTRE AUTRES DE L' ÉCOLOGIE DE L' ÉNERGIE DU DÉVELOPPEMENT DURABLE	PROJETS CONTRE PROJETS ID EST CONTRIBUÉ BIENVENUE DANS PILEFACE AVEC CÔTÉ PILE CETTE SEMAINE L'ANCIEN MINISTRE ENTRE AUTRES DE L'ÉCOLOGIE DE L'ÉNERGIE DU DÉVELOPPEMENT DURABLE
ET DE L' AMÉNAGEMENT DU TERRITOIRE PRÉSIDENT DU PARTI ET DU GROUPE DE L' UNION DES DÉMOCRATES ET INDÉPENDANTS À L' ASSEMBLÉE NATIONALE ET DÉPUTÉ DU NORD JEAN LOUIS BORLOO	ET DE L'AMÉNAGEMENT DU TERRITOIRE PRÉSIDENT DU PARTI ET DU GROUPE DE L'UNION DES DÉMOCRATES ET INDÉPENDANTS À L'ASSEMBLÉE NATIONALE EST DÉPUTÉE DU NORD JEAN LOUIS BORDEAUX
CÔTÉ FACE LE PRÉSIDENT DU GROUPE SOCIALISTE RÉPUBLICAIN ET CITOYEN DE L' ASSEMBLÉE NATIONALE ET DÉPUTÉ DE SEINE SAINT DENIS BRUNO LE ROUX SOUPÇON D' AMATEURISME MAUVAIS CHIFFRES DU CHÔMAGE	CÔTÉ FACE LE PRÉSIDENT DU GROUPE SOCIALISTE RÉPUBLICAIN CITOYEN D'ASSEMBLÉE NATIONALE ET DÉPUTÉ DE SENSANDI BRUNO LERO SOUPÇON D'AMATORISME MAUVAIS CHIFFRE DU CHÔMAGE
C' EST DANS CE CONTEXTE QUE LE GOUVERNEMENT DÉFEND SA POLITIQUE BUDGÉTAIRE À L' ASSEMBLÉE NATIONALE OBJECTIF AFFICHÉ LE REDRESSEMENT COÛTE QUE COÛTE DES COMPTES PUBLICS	C'EST DANS CE CONTEXTE QUE LE GOUVERNEMENT DÉFEND SA POLITIQUE BUDGÉTAIRE À L'ASSEMBLÉE NATIONALE OBJECTIF AFFICHÉ LAURERESEMENT COÛTE COÛTE DES CONTES PUBLICS
POUR Y PARVENIR VINGT MILLIARDS D' IMPÔTS SUPPLÉMENTAIRES ET DIX MILLIARDS D' ÉCONOMIES EN DEUX MILLE TREIZE L' AUSTÉRITÉ EST DONC PLUS QUE JAMAIS DE MISE MAIS PERMETTRA TELLE SEULEMENT DE RETROUVER	POUR Y PARVENIR VINGT MILLIARDS D IMPÔTS SUPPLÉMENTAIRES ET DIX MILLIARDS D ÉCONOMIES EN DEUX MILLE TREIZE L AUSTÉRITÉ EST DONC PLUS JAMAIS DE MISE MAIS PERMETTRA T ELLE SEULEMENT DE RETROUVER
LE CHEMIN DE LA CROISSANCE EN REDONNANT NOTAMMENT DU SOUFFLE À LA COMPÉTITIVITÉ DE NOS ENTREPRISES (H) BIEN MESSIEURS NOUS ALLONS AVOIR TRENTE MINUTES POUR EN DÉBATTRE	LE CHEMIN DE LA CROISSANCE EN REDONNANT NOTAMMENT DU SOUFFLE À LA COMPÉTITIVITÉ DE NOS ENTREPRISES ET BIEN MONSIEUR NOUS ALLONS AVOIR TRENTE MINUTES POUR EN DÉBATTRE
	L'ÉPREUVE JUSQU'À TOUJOURS DIFFÉRENTES FORMES ÉCONOMIQUES
LA PIÈCE TOMBE SUR FACE C' EST DONC VOUS BRUNO LE ROUX QUI ALLEZ ENTAMER CE DÉBAT C' EST VOUS JEAN LOUIS BORLOO QUI ALLEZ LE LE CONCLURE BRUNO LE ROUX TOUT D' ABORD LE CONTEXTE POLITIQUE DU MOMENT SI VOUS LE VOULEZ BIEN	LA PIÈCE TOMBE SURFASSE TRÈS DANS VOUS BRUNO LE MOT QUI ALLAIT ENTAMER CE DÉBAT SI VOUS CHANTEZ DANS LEQUEL HELE LE CONCLURE GOUNOLERONT TOUT D ABORD LE CONTEXTE POLITIQUE DU MOMENT SI VOUS LE VOULEZ BIEN
QUE RÉPONDEZ VOUS AUJOURD'HUI À CEUX QUI ACCUSENT LE GOUVERNEMENT D' AMATEURISME	QUE RÉPONDEZ VOUS AUJOURD'HUI À CEUX QUI ACCUSENT LE GOUVERNEMENT D'AMATORIS
QUE TOUTE DEPUIS MAINTENANT QUATRE MOIS QUE VOUS PROUVEZ PRENDRE CHAQUE DOMAINE ET L' ÉMISSION N' Y SUFFIRAIT PAS NOUS SOMMES EN TRAIN DE GÉRER LES URGENCES CAR IL Y A DANS UNE PÉRIODE DE CRISE DES URGENCES ABSOLUMENT DANS TOUS LES DOMAINES DU LOGEMENT	QUE TOUTES DEPUIS MAINTENANT QUATRE MOIS QUE VOUS POUVEZ PRENDRE CHAQUE DOMAINE L'ÉMISSION N'Y SUFFIRRAIT PAS NOUS SOMMES EN TRAIN DE GÉRER LES URGENCES CAR IL Y A DANS UNE PÉRIODE CRISE DES URGENCES ABSOLUMENT DANS TOUS LES DOMAINES DU LOGEMENT
QUI CONCERNE LE TEXTE QUI VIENT D' ÊTRE RETOQUÉ PAR LE CONSEIL CONSTITUTIONNEL À L' ÉDUCATION EN PASSANT BIEN ENTENDU PAR LA FISCALITÉ PAR L' ENVIRONNEMENT IL Y A DES URGENCES ET EN MÊME TEMPS QUE NOUS GÉRONS CES URGENCES NOUS SOUHAITONS ENTAMER DES RÉFORMES QUI SONT DES RÉFORMES DE FOND	QUI CONCERNE LE TEXTE QUI VIENT D ÊTRE RETOCÉE PAR LE CONSEIL CONSTITUTIONNEL À L ÉDUCATION EN PASSANT BIEN ENTENDU PAR LA FISCALITÉ PAR L ENVIRONNEMENT IL Y A LES URGENCES ET EN MÊME TEMPS QUE NOUS SOUHAITONS ENTAMER DES RÉFORMES QUI SONT DES RÉFORMES DE FONDS
QUI PARFOIS POURRAIT	PARFOIS POUR AIDE
CAS PRÉSENT SUR LE TEXTE LOGEMENT VOUS SAVEZ IL SUFFIT LE GOUVERNEMENT ÉTAIT PRÊT IL A VOULU INSCRIRE TRÈS TÔT UN TEXTE QUI ÉTAIT NÉCESSAIRE POUR DONNER DES NOUVEAUX MOYENS EN COLLECTIVITÉ TERRITORIALE ET IL Y A EU DANS NOTRE RÈGLEMENT UN TEXTE QUI EST PASSÉ EN COMMISSION ET QUI N' A PAS BOUGÉ EN COMMISSION	QU À PRÉSENT SUR LE TEXTE LOGEMENT SAVAIT IL SUFFIT LE GOUVERNEMENT ÉTAIT PRÈS IL A VOULU INSCRIRE TRÈS TÔT UN TEXTE QUI ÉTAIT NÉCESSAIRE POUR DONNER DES NOUVEAUX MOYENS AUX COLLECTIVITÉS TERRITORIALES ET IL Y A EU DANS NOTRE RÈGLEMENT UN TEXTE QUI PASSAIT EN COMMISSION ET QU IL N A PAS BOUGÉ EN COMMISSION
S' IL AVAIT ÉVOLUÉ LA PROCÉDURE AURAIT ÉTÉ RESPECTÉE PEUT ÊTRE QUE LE TEXTE DU GOUVERNEMENT ÉTAIT TROP BON ET QUE C' EST CELA QUI NOUS A AUJOURD'HUI OBLIGÉ À UN REPORT PUISQUE LE TEXTE SERA RÉINSCRIT À L' ASSEMBLÉE LE VINGT NOVEMBRE DÈS NOS DÉBATS SUR LE PROJET DE LOI DE FINANCES TERMINÉS	S'IL AVAIT ÉVOLUÉ LA PROCÉDURE AURAIT ÉTÉ RESPECTÉE PEUT ÊTRE QUE LE TEXTE DU GOUVERNEMENT ÉTAIT TROP BONS ETC QUI NOUS A AUJOURD'HUI OBLIGÉ À L'AÉROPORT PUISQUE LE TEXTE SERA RÉASCRIT À L'ASSEMBLÉE LEVAIN NOVEMÉE
JEAN LOUIS BORLOO EST CE QUE VOUS ENTENDEZ CE QUE DIT BRUNO LE ROUX À PROPOS DE DE CE SOUPÇON D' AMATEURISME	JEAN LOUIS BARLOWS VOUS ENTENDEZ CE QUE DIT BRUNO LEROUX À PROPOS DE DE CE SOUPÇON D'AMATORISME
NON MAIS C' EST JAMAIS C' EST JAMAIS AGRÉABLE POUR UN GOUVERNEMENT QUE LE CONSEIL CONSTITUTIONNEL CENSURE UN TEXTE (N) C' EST DÉJÀ ARRIVÉ MOI J' EN FAIS PAS UNE AFFAIRE MAJEURE	N'EN MESSEZ JAMAIS C'EST JAMAIS GRAS POUR UN GOUVERNEMENT LE CONSEIL CONSTITUTIONNEL SONT SUR INDEX BON C'EST JAMAIS AGRA POUR UN GOUVERNEMENT LE CONSEIL CONSTITUTIONNEL SONT SUR INDEX BOT C'EST DÉJÀ ARRIVÉ N'A J'EN FAIT PAS UNE AFFAIRE MAJEURE
JE JE SUIS UN PEU PLUS J' AIMERAIS JUSTE COMPRENDRE POURQUOI LE PREMIER MINISTRE LE MATIN ANNONCE UNE DÉCISION QUE LE CONSEIL CONSTITUTIONNEL N' A PAS RENDUE ALORS	JE SUIS UN PEU PLUS J'AIMERAIS JUSQU'EN PRENDRE POURQUOI LE PREMIER MINISTRE MATIN ANNONCE UNE DÉCISION QUE LE CONSÉQUENTIEL N'A PAS RENDU
C' EST PARCE QU' IL ÉTAIT TELLEMENT CONVAINCU PEUT ÊTRE JE NE SAIS PAS MAIS FAUT PAS QUE ÇA SE REPRODUISE	C'EST PARCE QU'IL ÉTAIT TELLEMENT CONVAINCU PEUT ÊTRE JE NE SAIS PAS MES PHOPAXAS REPRODUIT
JE SERAI À LYON POUR MANIFESTER JE SUIS UN ÉLU DE LA DRÔME JE VAIS À LYON MANIFESTER MAIS LA MANIFESTATION FAIT PARTIE DU DROIT DE LA DÉMOCRATIE NOUS LANÇONS ET NOUS LANCERONS DES PÉTITIONS NOUS MÈNERONS UN COMBAT FAROUCHE À L' ASSEMBLÉE	POUR MANIFESTER MAIS LA MANIFESTATION FAIT PARTIE DU DROIT DE LA DÉMOCRATIQUE NOUS LANÇONS HELMULENSRON DES PÉTITIONS NOUS MÈNERONT UN COMBAT FAROUCHE À L'ASSEMBLÉE
JE SOUHAITE QUE NOUS LE FASSIONS SANS INSULTER NOS COLLÈGUES SOCIALISTES SANS INSULTER DES PERSONNES QUI PEUVENT ÊTRE DEMANDERESSES DE CE QUI LEUR EST PROPOSÉ AUJOURD'HUI MAIS JE SOUHAITE AUSSI LEUR EXPLIQUER QUE CE N' EST	JE SOUHATE QUE NOUS FASSONS SANS INSULTER NOTRE SOCIALISTE SANS INSULTER DES PERSONNES QUI PEUVENT ÊTRE DEUX MANDRESSES DE CE QUI LEUR POURRAIT PROPOSER AUJOURD'HUI MAIS JE SAIS AUSSI LEUR EXPLIQUER QUE C'EST NÉ
PAS	
BIEN POUR ELLES ET CE N' EST PAS LEUR INTÉRÊT ET CE N' EST PAS NON PLUS L' INTÉRÊT DE LA SOCIÉTÉ NOUS SOMMES NOUS AVONS DEMANDÉ LE PS LA MAJORITÉ NOUS L' ONT REFUSÉ NOUS AVONS DEMANDÉ UN DÉBAT PUBLIC POURQUOI PARCE QUE NOUS SOMMES À LA FOIS TRÈS FORTS DANS NOS CONVICTIONS ET SUFFISAMMENT OPTIMISTES QUE NOTRE CONVICTION PUISSE ENTRAÎNER	MECHCHCHCHCHCHCHCHCHCHOUCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCHCH
POUR NOUS SOUMETTRE AU DÉBAT PUBLIC MAIS ON NOUS L' A REFUSÉ	POUR NOUS SOUMETTRE AUX DÉBATS PUBLICS MAIS ON NE LEUR FUS
PATRICK BLOCHE EST CE QU' IL RESTE ENCORE À CONVAINCRE À TROUVER LES ARGUMENTS À EXPLIQUER FACE À CETTE POPULATION UNE PARTIE DE LA POPULATION QUI SERAIT HOSTILE	MATRI BLOCHE EST CE QU'IL RESTE ENCORE À CONVAINCRE À TROUVER LES ARGUMENTS À EXPLIQUER FACE À CETTE POPULATION UNE PARTIE DE LA POPULATION QUI SERAIT HOSTILE
À CE TEXTE DE (LOI)	CE TEXTE DE LOIRE
PENSE QUE LE DÉBAT QUI EST DEVANT NOUS LE DÉBAT PARLEMENTAIRE DE LA FIN DU MOIS DE JANVIER NE REVÊTIRA PAS LE MÊME CARACTÈRE QUE LE DÉBAT QU' IL Y A EU LORS DE L' ADOPTION DU PACS IL Y A MAINTENANT TREIZE ANS	LE DÉBAT INQUIÉTANT NOUS LE DÉBAT PARLEMENTAIRE DE LA FIN DU MOIS DE JANVIER NE REVÊTRA PAS LE MÊME CAROPTÈRE QUE LE DÉBAT QU'IL Y A EU LORS DE L'ADOPTION DU PAXE IL Y A MAINTENANT AU TREIZEANS
PARCE QUE JE PENSE QUE LE DÉBAT EXTRÊMEMENT VIOLENT QUI EUT LIEU IL Y A IL Y A TREIZE ANS A ÉTÉ D' AILLEURS DE MANIÈRE PARADOXALE PAR LE VOTE DE LA LOI IN FINE UN DÉBAT FONDATEUR	PARCE QUE JE PENSE QUE LE DÉBAT EXTRÊMEMENT VIOLENT QUI LIEU YA Y A TREIZE ANS A ÉTÉ D'AILLEURS DE MANIÈRE PAR ADOXALE PAR LE VOTE DE LA LOI INFINI UN DÉBAT FONDATEUR
QUI A FAIT SAUTER BEAUCOUP DE VERROUS ET SURTOUT FAIT TOMBER BEAUCOUP DE TABOUS ET LA SOCIÉTÉ FRANÇAISE À TRAVERS UN DÉBAT DONT ELLE S' EST EMPARÉE ET QUI EST SORTI TRÈS RAPIDEMENT DES DE LA SEULE ENCEINTE DU PALAIS BOURBON	IL A FAIT SAUTER BEAUCOUP DE VERROUS ET SURTOUT FAIT TOMBER BEAUCOUP DE TABOUS ET LA SOCIÉTÉ FRANÇAISE À TRAVERS UN DÉBAT DONT ELLE S'EST EMPARÉE ET QUI SORTIT TRÈS RAPIDEMENT DÉCIDAL SEULE ENCEINTE DU PALAIS BOURBON
A CHANGÉ SON REGARD SUR L' HOMOSEXUALITÉ LES HOMOSEXUELS ET BIEN ENTENDU LES COUPLES DE FEMMES ET D' HOMMES ET DONC EN L' OCCURRENCE ON VA PAS REVIVRE LE MÊME DÉBAT PARCE QUE LA SOCIÉTÉ FRANÇAISE N' A PAS BESOIN D' UN DÉBAT	A CHANGER SON REGARD SUR LOMOSEXUALITÉ LES HOMOSEXUELLES ET BIEN ENTENDU LES COUPLES DE FEMMES ET D HOMMES ET DONC EN LOCANCE ON VA PART REVIVRE LE MÊME DÉBAT PARCE QUE L'ASSOCIÉE FRANÇAISE N'A PAS BESOIN D'UN DÉBAT
POUR SE LIBÉRER DES IDÉES REÇUES QU' ELLE AVAIT SANS DOUTE AUPARAVANT SUR L' HOMOSEXUALITÉ	POUR SE LIBÉRER DES IDÉES REÇUES QU'ELLE AVAIT SANS DOUTE AUPARAVANT SUR L'HOMOSEXU
ENTRE LES ANTI ET LES PRO	FAUT LES ANTILLEPROS
CE QUI A FONDALEMENT CHANGÉ C' EST QUE LE DÉBAT POUR LE PACS A PERMIS À NOMBRE D' HOMMES ET DE FEMMES	CE QUI A FONDAMENTALEMENT CHANGÉ C'EST QUE LE DÉBAT POUR LE PAX A PERMIS À NOMBRE D'HOMMES ET DE FEMMES
ILS ME L' ONT DIT	IL ME LONG DIT
ET ILS M' EN ONT REMERCIÉ D' AILLEURS D' AVOIR PU AVOUER	MON NOMMERCIER D'AILLEURS D'AVOIR PU AVOUER
